epoch,loss_db,learning_rate
1,-14.549599509188518,0.01
2,-36.89451669610784,0.01
3,-37.15011380943827,0.01
4,-37.85418148890326,0.01
5,-37.12860240797415,0.01
6,-37.92986610202776,0.01
7,-39.13022107119517,0.01
8,-38.605321427346084,0.01
9,-39.154535315955926,0.01
10,-39.3221152745392,0.01
11,-38.826746117064694,0.01
12,-38.96210358369261,0.01
13,-39.43698459825881,0.01
14,-39.46378613595072,0.01
15,-39.90320160052972,0.01
16,-40.26588410321917,0.01
17,-40.076929213257834,0.01
18,-39.8379532891582,0.01
19,-40.3486993796635,0.01
20,-39.84475819536424,0.01
